"fornavn";"år";"Andel av fødte (prosent)"
"Aashild";"1956";0.015
"Aashild";"1957";0.028
"Aashild";"1958";0.015
"Aashild";"1959";0.018
"Aashild";"1960";0.015
"Aashild";"1961";.
"Aashild";"1962";.
"Aashild";"1963";0.014
"Aashild";"1964";0.014
"Aashild";"1965";0.014
"Aashild";"1966";0.011
"Aashild";"1967";.
"Aashild";"1968";.
"Aashild";"1969";0.018
"Aashild";"1970";.
"Aashild";"1971";.
"Aashild";"1972";.
"Aashild";"1973";.
"Aashild";"1974";.
"Aashild";"1975";.
"Aashild";"1976";.
"Aashild";"1977";.
"Aashild";"1978";.
"Aashild";"1979";.
"Aashild";"1980";.
"Aashild";"1981";.
"Aashild";"1982";.
"Aashild";"1983";.
"Aashild";"1984";.
"Aashild";"1985";.
"Aashild";"1986";.
"Aashild";"1987";.
"Aashild";"1988";.
"Aashild";"1989";.
"Aashild";"1990";.
"Aashild";"1991";.
"Aashild";"1992";.
"Aashild";"1993";.
"Aashild";"1994";.
"Aashild";"1995";.
"Aashild";"1996";.
"Aashild";"1997";.
"Aashild";"1998";.
"Aashild";"1999";.
"Aashild";"2000";.
"Aashild";"2001";.
"Aashild";"2002";.
"Aashild";"2003";.
"Aashild";"2004";.
"Aashild";"2005";.
"Aashild";"2006";.
"Aashild";"2007";.
"Aashild";"2008";.
"Aashild";"2009";.
"Aashild";"2010";.
"Aashild";"2011";.
"Aashild";"2012";.
"Aashild";"2013";.
"Aashild";"2014";.
"Aashild";"2015";.
"Aashild";"2016";.
"Aashild";"2017";.
"Aashild";"2018";.
"Aashild";"2019";.
"Aashild";"2020";.
"Aasta";"1880";0.031
"Aasta";"1881";0.073
"Aasta";"1882";0.090
"Aasta";"1883";0.117
"Aasta";"1884";0.085
"Aasta";"1885";0.069
"Aasta";"1886";0.094
"Aasta";"1887";0.060
"Aasta";"1888";0.066
"Aasta";"1889";0.032
"Aasta";"1890";0.074
"Aasta";"1891";0.140
"Aasta";"1892";0.114
"Aasta";"1893";0.094
"Aasta";"1894";0.122
"Aasta";"1895";0.109
"Aasta";"1896";0.160
"Aasta";"1897";0.106
"Aasta";"1898";0.204
"Aasta";"1899";0.176
"Aasta";"1900";0.167
"Aasta";"1901";0.168
"Aasta";"1902";0.169
"Aasta";"1903";0.130
"Aasta";"1904";0.194
"Aasta";"1905";0.279
"Aasta";"1906";0.185
"Aasta";"1907";0.186
"Aasta";"1908";0.324
"Aasta";"1909";0.210
"Aasta";"1910";0.232
"Aasta";"1911";0.171
"Aasta";"1912";0.206
"Aasta";"1913";0.240
"Aasta";"1914";0.190
"Aasta";"1915";0.222
"Aasta";"1916";0.108
"Aasta";"1917";0.158
"Aasta";"1918";0.154
"Aasta";"1919";0.178
"Aasta";"1920";0.179
"Aasta";"1921";0.129
"Aasta";"1922";0.193
"Aasta";"1923";0.165
"Aasta";"1924";0.157
"Aasta";"1925";0.127
"Aasta";"1926";0.106
"Aasta";"1927";0.125
"Aasta";"1928";0.121
"Aasta";"1929";0.088
"Aasta";"1930";0.115
"Aasta";"1931";0.099
"Aasta";"1932";0.081
"Aasta";"1933";0.052
"Aasta";"1934";0.077
"Aasta";"1935";0.041
"Aasta";"1936";0.030
"Aasta";"1937";0.024
"Aasta";"1938";0.047
"Aasta";"1939";0.023
"Aasta";"1940";0.036
"Aasta";"1941";0.061
"Aasta";"1942";0.021
"Aasta";"1943";0.015
"Aasta";"1944";0.021
"Aasta";"1945";0.026
"Aasta";"1946";0.018
"Aasta";"1947";0.022
"Aasta";"1948";0.016
"Aasta";"1949";0.013
"Aasta";"1950";.
"Aasta";"1951";0.014
"Aasta";"1952";.
"Aasta";"1953";0.013
"Aasta";"1954";.
"Aasta";"1955";.
"Aasta";"1956";.
"Aasta";"1957";0.012
"Aasta";"1958";.
"Aasta";"1959";.
"Aasta";"1960";.
"Aasta";"1961";.
"Aasta";"1962";0.012
"Aasta";"1963";.
"Aasta";"1964";.
"Aasta";"1965";.
"Aasta";"1966";.
"Aasta";"1967";.
"Aasta";"1968";.
"Aasta";"1969";.
"Aasta";"1970";.
"Aasta";"1971";.
"Aasta";"1972";.
"Aasta";"1973";.
"Aasta";"1974";.
"Aasta";"1975";.
"Aasta";"1976";.
"Aasta";"1977";.
"Aasta";"1978";.
"Aasta";"1979";.
"Aasta";"1980";.
"Aasta";"1981";.
"Aasta";"1982";.
"Aasta";"1983";.
"Aasta";"1984";.
"Aasta";"1985";.
"Aasta";"1986";.
"Aasta";"1987";.
"Aasta";"1988";.
"Aasta";"1989";.
"Aasta";"1990";.
"Aasta";"1991";.
"Aasta";"1992";.
"Aasta";"1993";.
"Aasta";"1994";.
"Aasta";"1995";.
"Aasta";"1996";.
"Aasta";"1997";.
"Aasta";"1998";.
"Aasta";"1999";.
"Aasta";"2000";.
"Aasta";"2001";.
"Aasta";"2002";.
"Aasta";"2003";.
"Aasta";"2004";.
"Aasta";"2005";.
"Aasta";"2006";.
"Aasta";"2007";.
"Aasta";"2008";.
"Aasta";"2009";.
"Aasta";"2010";.
"Aasta";"2011";.
"Aasta";"2012";.
"Aasta";"2013";.
"Aasta";"2014";.
"Aasta";"2015";.
"Aasta";"2016";.
"Aasta";"2017";.
"Aasta";"2018";.
"Aasta";"2019";.
"Aasta";"2020";.
"Abigail";"1880";0.000
"Abigail";"1881";0.000
"Abigail";"1882";0.000
"Abigail";"1883";0.000
"Abigail";"1884";0.000
"Abigail";"1885";0.000
"Abigail";"1886";0.000
"Abigail";"1887";0.000
"Abigail";"1888";0.000
"Abigail";"1889";0.000
"Abigail";"1890";0.000
"Abigail";"1891";0.000
"Abigail";"1892";0.000
"Abigail";"1893";0.000
"Abigail";"1894";0.000
"Abigail";"1895";0.000
"Abigail";"1896";0.000
"Abigail";"1897";0.000
"Abigail";"1898";0.000
"Abigail";"1899";0.000
"Abigail";"1900";0.000
"Abigail";"1901";0.000
"Abigail";"1902";0.000
"Abigail";"1903";0.000
"Abigail";"1904";0.000
"Abigail";"1905";0.000
"Abigail";"1906";0.000
"Abigail";"1907";0.000
"Abigail";"1908";0.000
"Abigail";"1909";0.000
"Abigail";"1910";0.000
"Abigail";"1911";0.000
"Abigail";"1912";0.000
"Abigail";"1913";0.000
"Abigail";"1914";0.000
"Abigail";"1915";0.000
"Abigail";"1916";0.000
"Abigail";"1917";0.000
"Abigail";"1918";0.000
"Abigail";"1919";0.000
"Abigail";"1920";0.000
"Abigail";"1921";0.000
"Abigail";"1922";0.000
"Abigail";"1923";0.000
"Abigail";"1924";0.000
"Abigail";"1925";0.000
"Abigail";"1926";0.000
"Abigail";"1927";0.000
"Abigail";"1928";0.000
"Abigail";"1929";0.000
"Abigail";"1930";0.000
"Abigail";"1931";0.000
"Abigail";"1932";0.000
"Abigail";"1933";0.000
"Abigail";"1934";0.000
"Abigail";"1935";0.000
"Abigail";"1936";0.000
"Abigail";"1937";0.000
"Abigail";"1938";0.000
"Abigail";"1939";0.000
"Abigail";"1940";0.000
"Abigail";"1941";0.000
"Abigail";"1942";0.000
"Abigail";"1943";0.004
"Abigail";"1944";0.000
"Abigail";"1945";.
"Abigail";"1946";.
"Abigail";"1947";.
"Abigail";"1948";.
"Abigail";"1949";.
"Abigail";"1950";.
"Abigail";"1951";.
"Abigail";"1952";.
"Abigail";"1953";.
"Abigail";"1954";.
"Abigail";"1955";.
"Abigail";"1956";.
"Abigail";"1957";.
"Abigail";"1958";.
"Abigail";"1959";.
"Abigail";"1960";.
"Abigail";"1961";.
"Abigail";"1962";.
"Abigail";"1963";.
"Abigail";"1964";.
"Abigail";"1965";.
"Abigail";"1966";.
"Abigail";"1967";.
"Abigail";"1968";.
"Abigail";"1969";.
"Abigail";"1970";.
"Abigail";"1971";.
"Abigail";"1972";.
"Abigail";"1973";.
"Abigail";"1974";.
"Abigail";"1975";.
"Abigail";"1976";.
"Abigail";"1977";.
"Abigail";"1978";.
"Abigail";"1979";.
"Abigail";"1980";.
"Abigail";"1981";.
"Abigail";"1982";.
"Abigail";"1983";0.011
"Abigail";"1984";0.011
"Abigail";"1985";.
"Abigail";"1986";.
"Abigail";"1987";.
"Abigail";"1988";0.010
"Abigail";"1989";.
"Abigail";"1990";0.010
"Abigail";"1991";.
"Abigail";"1992";0.014
"Abigail";"1993";.
"Abigail";"1994";.
"Abigail";"1995";0.012
"Abigail";"1996";.
"Abigail";"1997";0.015
"Abigail";"1998";.
"Abigail";"1999";0.012
"Abigail";"2000";0.015
"Abigail";"2001";0.016
"Abigail";"2002";.
"Abigail";"2003";0.016
"Abigail";"2004";0.013
"Abigail";"2005";.
"Abigail";"2006";0.012
"Abigail";"2007";0.022
"Abigail";"2008";.
"Abigail";"2009";0.027
"Abigail";"2010";0.030
"Abigail";"2011";0.019
"Abigail";"2012";0.047
"Abigail";"2013";0.048
"Abigail";"2014";0.033
"Abigail";"2015";0.040
"Abigail";"2016";0.046
"Abigail";"2017";0.052
"Abigail";"2018";0.050
"Abigail";"2019";0.055
"Abigail";"2020";0.042
"Ada";"1880";0.047
"Ada";"1881";0.044
"Ada";"1882";0.026
"Ada";"1883";0.000
"Ada";"1884";0.011
"Ada";"1885";0.040
"Ada";"1886";0.028
"Ada";"1887";0.026
"Ada";"1888";0.050
"Ada";"1889";0.024
"Ada";"1890";0.022
"Ada";"1891";0.000
"Ada";"1892";0.007
"Ada";"1893";0.044
"Ada";"1894";0.024
"Ada";"1895";0.034
"Ada";"1896";0.028
"Ada";"1897";0.032
"Ada";"1898";0.036
"Ada";"1899";0.030
"Ada";"1900";0.020
"Ada";"1901";0.029
"Ada";"1902";0.014
"Ada";"1903";0.051
"Ada";"1904";0.023
"Ada";"1905";0.069
"Ada";"1906";0.023
"Ada";"1907";0.031
"Ada";"1908";0.035
"Ada";"1909";0.029
"Ada";"1910";0.051
"Ada";"1911";0.042
"Ada";"1912";0.024
"Ada";"1913";0.065
"Ada";"1914";0.024
"Ada";"1915";0.028
"Ada";"1916";0.092
"Ada";"1917";0.104
"Ada";"1918";0.104
"Ada";"1919";0.103
"Ada";"1920";0.106
"Ada";"1921";0.144
"Ada";"1922";0.098
"Ada";"1923";0.142
"Ada";"1924";0.105
"Ada";"1925";0.139
"Ada";"1926";0.139
"Ada";"1927";0.116
"Ada";"1928";0.107
"Ada";"1929";0.107
"Ada";"1930";0.097
"Ada";"1931";0.094
"Ada";"1932";0.124
"Ada";"1933";0.078
"Ada";"1934";0.098
"Ada";"1935";0.129
"Ada";"1936";0.086
"Ada";"1937";0.059
"Ada";"1938";0.113
"Ada";"1939";0.069
"Ada";"1940";0.067
"Ada";"1941";0.088
"Ada";"1942";0.066
"Ada";"1943";0.073
"Ada";"1944";0.041
"Ada";"1945";0.046
"Ada";"1946";0.036
"Ada";"1947";0.074
"Ada";"1948";0.048
"Ada";"1949";0.056
"Ada";"1950";0.043
"Ada";"1951";0.024
"Ada";"1952";0.055
"Ada";"1953";0.051
"Ada";"1954";0.057
"Ada";"1955";0.044
"Ada";"1956";0.042
"Ada";"1957";0.037
"Ada";"1958";0.015
"Ada";"1959";0.033
"Ada";"1960";.
"Ada";"1961";0.024
"Ada";"1962";0.021
"Ada";"1963";0.020
"Ada";"1964";.
"Ada";"1965";0.035
"Ada";"1966";0.024
"Ada";"1967";0.013
"Ada";"1968";.
"Ada";"1969";0.018
"Ada";"1970";0.016
"Ada";"1971";0.010
"Ada";"1972";0.013
"Ada";"1973";0.011
"Ada";"1974";0.011
"Ada";"1975";0.014
"Ada";"1976";.
"Ada";"1977";0.021
"Ada";"1978";0.012
"Ada";"1979";0.014
"Ada";"1980";0.011
"Ada";"1981";0.014
"Ada";"1982";0.025
"Ada";"1983";0.014
"Ada";"1984";0.017
"Ada";"1985";0.039
"Ada";"1986";0.030
"Ada";"1987";0.024
"Ada";"1988";0.031
"Ada";"1989";0.044
"Ada";"1990";0.026
"Ada";"1991";0.024
"Ada";"1992";0.051
"Ada";"1993";0.058
"Ada";"1994";0.062
"Ada";"1995";0.084
"Ada";"1996";0.078
"Ada";"1997";0.108
"Ada";"1998";0.092
"Ada";"1999";0.073
"Ada";"2000";0.113
"Ada";"2001";0.165
"Ada";"2002";0.167
"Ada";"2003";0.152
"Ada";"2004";0.196
"Ada";"2005";0.237
"Ada";"2006";0.220
"Ada";"2007";0.308
"Ada";"2008";0.277
"Ada";"2009";0.296
"Ada";"2010";0.291
"Ada";"2011";0.339
"Ada";"2012";0.398
"Ada";"2013";0.407
"Ada";"2014";0.364
"Ada";"2015";0.418
"Ada";"2016";0.518
"Ada";"2017";0.678
"Ada";"2018";0.940
"Ada";"2019";1.071
"Ada";"2020";0.910
"Adele";"1880";0.016
"Adele";"1881";0.015
"Adele";"1882";0.013
"Adele";"1883";0.023
"Adele";"1884";0.032
"Adele";"1885";0.000
"Adele";"1886";0.000
"Adele";"1887";0.017
"Adele";"1888";0.008
"Adele";"1889";0.008
"Adele";"1890";0.029
"Adele";"1891";0.056
"Adele";"1892";0.047
"Adele";"1893";0.025
"Adele";"1894";0.037
"Adele";"1895";0.029
"Adele";"1896";0.028
"Adele";"1897";0.016
"Adele";"1898";0.025
"Adele";"1899";0.035
"Adele";"1900";0.034
"Adele";"1901";0.034
"Adele";"1902";0.028
"Adele";"1903";0.033
"Adele";"1904";0.032
"Adele";"1905";0.027
"Adele";"1906";0.041
"Adele";"1907";0.013
"Adele";"1908";0.004
"Adele";"1909";0.034
"Adele";"1910";0.021
"Adele";"1911";0.042
"Adele";"1912";0.020
"Adele";"1913";0.012
"Adele";"1914";0.032
"Adele";"1915";0.016
"Adele";"1916";0.040
"Adele";"1917";0.042
"Adele";"1918";0.015
"Adele";"1919";0.021
"Adele";"1920";0.027
"Adele";"1921";0.011
"Adele";"1922";0.019
"Adele";"1923";0.011
"Adele";"1924";0.016
"Adele";"1925";0.025
"Adele";"1926";0.008
"Adele";"1927";0.013
"Adele";"1928";0.009
"Adele";"1929";0.014
"Adele";"1930";0.018
"Adele";"1931";0.005
"Adele";"1932";0.005
"Adele";"1933";0.010
"Adele";"1934";0.015
"Adele";"1935";0.005
"Adele";"1936";0.000
"Adele";"1937";0.000
"Adele";"1938";0.009
"Adele";"1939";0.009
"Adele";"1940";0.004
"Adele";"1941";0.005
"Adele";"1942";0.004
"Adele";"1943";0.004
"Adele";"1944";0.007
"Adele";"1945";.
"Adele";"1946";.
"Adele";"1947";.
"Adele";"1948";.
"Adele";"1949";.
"Adele";"1950";.
"Adele";"1951";.
"Adele";"1952";.
"Adele";"1953";.
"Adele";"1954";.
"Adele";"1955";.
"Adele";"1956";.
"Adele";"1957";.
"Adele";"1958";.
"Adele";"1959";.
"Adele";"1960";.
"Adele";"1961";.
"Adele";"1962";.
"Adele";"1963";.
"Adele";"1964";.
"Adele";"1965";.
"Adele";"1966";.
"Adele";"1967";.
"Adele";"1968";.
"Adele";"1969";.
"Adele";"1970";0.011
"Adele";"1971";.
"Adele";"1972";0.010
